cell_gradient_2norm,epoch,forward_nfe,forward_time,mean_batch_nfe,mean_batch_time,model_gradient_2norm,test_forecast_loss,test_loss,test_nfe,test_time,train_forecast_loss,train_loss,validation_foreast_loss,validation_loss,validation_nfe,validation_time
4.896887,47,1627.75,0.900564641,5061.75,6.035163462,14.391983,0.15933792,2.1481519,1630,2.133517265,0.15829113,2.245146,0.17894359,2.1010218,1630,2.111268044
6.1675367,48,1628.5,0.835426182,5094.75,5.871714264,15.418426,0.16123891,2.1516862,1642,2.172324419,0.15277964,2.2542417,0.18431282,2.1093185,1654,2.203968048
6.163039,49,1633.75,0.857649565,5080.5,5.842300534,14.669742,0.15945828,2.1465297,1648,2.198019981,0.14823921,2.248468,0.18040389,2.1021857,1630,2.057421923
4.3413363,50,1641.25,0.860576987,5064,5.850552529,9.654604,0.15364486,2.1342185,1654,2.147016764,0.1416865,2.2482762,0.17296343,2.091951,1648,2.14504981
4.7488623,51,1638.25,0.846294433,5103,5.834447235,10.321255,0.15485276,2.1296563,1642,2.189493179,0.13925034,2.2534332,0.17430487,2.0877557,1642,2.187333584
7.0874968,52,1637.5,0.848067582,5076.75,5.831578791,10.533549,0.15263353,2.1326594,1654,2.34640336,0.1404852,2.2310805,0.17507437,2.08888,1642,2.153907299
2.8802176,53,1650.25,0.889984667,5130.75,6.138975322,7.483949,0.15469328,2.1268177,1660,2.171220303,0.13864374,2.2417798,0.17535731,2.0856104,1636,2.147006035
5.4865713,54,1654,0.846402138,5118.75,5.87719664,9.11908,0.15286693,2.1289372,1654,2.197761536,0.13888128,2.2342005,0.1756403,2.086419,1642,2.07153511
4.7138987,55,1648.75,0.946312845,5125.5,6.471780568,8.722666,0.15360981,2.1266797,1648,2.167331934,0.13846886,2.237059,0.17577994,2.0845041,1666,2.130297899
4.742088,56,1654,0.857824773,5134.5,5.942801446,8.122753,0.15255411,2.1261659,1654,2.171488762,0.13836098,2.23006,0.17621559,2.0840707,1648,2.154923439
3.6699002,57,1660.75,0.854613841,5190.75,5.903580159,7.385806,0.15472451,2.1218944,1678,2.15907979,0.13781075,2.2337787,0.17706063,2.080989,1672,2.305838585
5.907172,58,1663,0.878025889,5186.25,6.045313776,9.626024,0.15297282,2.1223052,1696,2.141362906,0.13896605,2.2251902,0.17744651,2.0803752,1678,2.247863531
3.640188,59,1671.25,0.922606438,5176.5,6.338822573,7.3837113,0.15466191,2.118955,1672,2.230134726,0.13808027,2.2278562,0.17807332,2.0783873,1708,2.274255037
5.0851793,60,1672.75,0.867658734,5178.75,6.022618115,9.173369,0.15412216,2.116635,1672,2.2954216,0.13892153,2.221772,0.17864627,2.0758338,1690,2.209130764
4.9843864,61,1673.5,0.937581271,5213.25,6.405198902,9.042887,0.15438983,2.1151412,1690,2.114114285,0.13864028,2.2219868,0.17911369,2.0742831,1690,2.337565422
4.6278424,62,1681.75,0.852835715,5220.75,5.931586772,9.030392,0.1547203,2.1143894,1696,2.093905687,0.13894975,2.2179413,0.17990196,2.0741024,1684,2.182784557
4.6860676,63,1699,0.891023457,5250.75,6.21953702,9.167756,0.15513133,2.1102786,1696,2.134320736,0.13892466,2.217322,0.18047746,2.0701766,1678,2.259170771
4.9230127,64,1687,0.865083158,5254.5,5.996526092,9.877649,0.15558514,2.1101837,1702,2.237581968,0.13933113,2.2141523,0.1812789,2.070137,1696,2.157197714
4.9175596,65,1686.25,0.891344696,5245.5,6.096027762,10.031087,0.15559787,2.1077132,1678,2.112658739,0.13950285,2.212278,0.18173268,2.0679407,1678,2.116732836
4.818537,66,1696.75,0.901346177,5237.25,6.185673982,10.125175,0.15613648,2.1063504,1684,2.25975275,0.13961917,2.2107544,0.18238229,2.0668554,1684,2.094554663
5.059142,67,1705,0.950474828,5295.75,6.389961213,10.735367,0.15628767,2.1050386,1690,2.162271261,0.13995373,2.2083457,0.18297897,2.0655985,1672,2.259747744
4.830449,68,1699.75,0.957925111,5287.5,6.716816634,10.714943,0.15666237,2.1032894,1702,2.194456577,0.14004096,2.2070692,0.18346393,2.0640624,1684,2.253919601
4.847644,69,1702,0.908453256,5274,6.18449533,11.081509,0.15711759,2.1017241,1678,2.155098677,0.1403014,2.205082,0.18410537,2.0627398,1696,2.255148888
5.047551,70,1699,0.870757788,5266.5,6.020723015,11.587219,0.1572961,2.10014,1702,2.152565956,0.14056909,2.2033415,0.18459773,2.061233,1678,2.131197929
4.9865236,71,1713.25,0.928487301,5306.25,6.337511271,11.809514,0.15761155,2.0992308,1696,2.237731457,0.14075567,2.2018209,0.18513516,2.0605216,1690,2.187652111
4.9767656,72,1700.5,0.877743512,5306.25,6.181864053,12.080008,0.15791118,2.0975604,1690,2.218301296,0.1409629,2.2002223,0.18565425,2.059022,1696,2.213506937
5.066571,73,1703.5,0.875320584,5319,6.225931823,12.474594,0.15819418,2.0963302,1696,2.266385555,0.14118329,2.1987119,0.18616518,2.057909,1702,2.250685453
5.016738,74,1705.75,0.890967995,5338.5,6.341536731,12.764124,0.15851903,2.0953083,1690,2.138572931,0.14139152,2.197278,0.18668133,2.0570598,1708,2.207349062
5.004728,75,1711.75,0.902254105,5331,6.301965326,13.043974,0.15882468,2.093766,1738,2.330821037,0.14159524,2.1958394,0.18717565,2.0556588,1732,2.260732651
5.054082,76,1714.75,0.945621252,5309.25,6.580419302,13.441692,0.1591348,2.0926843,1726,2.298054934,0.14181754,2.1944914,0.18767256,2.0547147,1708,2.380459785
5.0333657,77,1723.75,0.945615768,5346.75,6.452528447,13.774481,0.15943116,2.0916104,1720,2.32698369,0.14203803,2.1931553,0.18814042,2.053783,1708,2.5076406
5.03699,78,1720,0.90360871,5377.5,6.377028227,14.079921,0.15971054,2.090314,1732,2.441249609,0.14224015,2.191823,0.18860462,2.0526063,1726,2.22149682
5.0393734,79,1717,1.034648508,5378.25,7.220814854,14.43988,0.16003315,2.0893023,1732,2.150904894,0.14244889,2.19061,0.18909295,2.0517402,1726,2.311099052
5.026449,80,1718.5,0.905715883,5363.25,6.42486769,14.788851,0.16033807,2.0882149,1720,2.27923727,0.14266527,2.1893802,0.18955728,2.0507755,1702,2.151233435
5.035854,81,1721.5,1.005877942,5395.5,7.100352138,15.132768,0.16058743,2.0871072,1726,2.18760705,0.14287357,2.1881328,0.18996696,2.0497751,1702,2.277547121
4.9832587,82,1722.25,0.979587078,5361.75,6.753612339,15.447969,0.16094136,2.086144,1708,2.292078972,0.14306784,2.1870542,0.19043562,2.0489705,1702,2.265794992
4.955843,83,1729,0.937456608,5389.5,6.600450277,15.79794,0.16123304,2.0850391,1744,2.22347784,0.14327757,2.1858854,0.19085118,2.0479639,1702,2.25037694
4.9665146,84,1722.25,0.975094914,5382.75,6.739247829,16.167246,0.161527,2.084105,1750,2.387287378,0.14348246,2.1847663,0.19130489,2.0471387,1714,2.168684244
4.881693,85,1729,0.930912167,5391,6.482091665,16.495033,0.16184142,2.0831547,1750,2.213617563,0.14367065,2.1838338,0.19168898,2.0463352,1726,2.343401432
4.8591266,86,1730.5,0.96101892,5415.75,6.776623666,16.832283,0.16212505,2.0822072,1762,2.319246292,0.14388117,2.1827054,0.19209293,2.0454845,1720,2.239259481
4.800227,87,1734.25,0.904515445,5414.25,6.495220453,17.173765,0.16243452,2.0813003,1762,2.348498106,0.14405957,2.181772,0.19248459,2.0447078,1714,2.182806015
4.718535,88,1731.25,0.908937454,5409,6.448486894,17.504778,0.16275346,2.0804043,1732,2.161183119,0.14425409,2.1808004,0.19287664,2.0439515,1726,2.311440945
4.640433,89,1739.5,0.926791281,5424.75,6.523862481,17.831253,0.16306563,2.0795388,1762,2.248459339,0.14444104,2.1798377,0.1932776,2.0432062,1720,2.204200029
4.5294685,90,1741.75,0.938930929,5451.75,6.800638765,18.14404,0.16343078,2.078643,1750,2.174425364,0.14461687,2.1789155,0.19369714,2.0424519,1720,2.293262005
4.41305,91,1737.25,0.915523142,5442.75,6.514638424,18.478771,0.16375959,2.077796,1756,2.310675859,0.14480083,2.1780229,0.19408497,2.0417285,1726,2.282753944
4.300375,92,1741,1.035372198,5466.75,7.248313904,18.787735,0.16413414,2.076943,1762,2.28595233,0.1449731,2.177093,0.19450393,2.0410218,1726,2.459989309
4.253457,93,1737.25,0.976122111,5429.25,6.860415548,19.124557,0.1644742,2.0760586,1792,2.401945353,0.14515126,2.1762576,0.19486454,2.0402699,1750,2.258848429
4.271692,94,1737.25,0.93658787,5455.5,6.687709183,19.473413,0.1648467,2.0752196,1762,2.167747736,0.14533424,2.1753528,0.195284,2.0395825,1750,2.252525806
4.2780046,95,1742.5,0.899744987,5448,6.328621984,19.821217,0.16517785,2.074326,1768,2.241353512,0.14551473,2.1745064,0.19564164,2.038811,1750,2.316695452
4.3194847,96,1750,0.984797746,5499.75,6.845810533,20.215553,0.16552159,2.0735173,1768,2.440795898,0.14570895,2.1736834,0.19603986,2.0381312,1738,2.2822299
4.3656397,97,1744,0.936018199,5460.75,6.596996725,20.620129,0.16583008,2.0726342,1768,2.368381977,0.14590919,2.1728244,0.19637297,2.0373735,1732,2.208669901
4.407914,98,1751.5,0.923200101,5457.75,6.456607997,21.01469,0.1661419,2.071863,1756,2.28200841,0.14611098,2.172004,0.1967292,2.0367215,1738,2.286790609
4.4724894,99,1747,0.928897113,5457.75,6.595392197,21.464533,0.16646238,2.0710669,1768,2.405869246,0.14631495,2.1712556,0.19709522,2.0360637,1756,2.291316032
4.500662,100,1741,0.920193434,5498.25,6.743215948,21.866837,0.16672948,2.0703373,1774,2.26376462,0.14652407,2.1703901,0.19741642,2.0354183,1738,2.340498686
4.545744,101,1743.25,0.964326859,5487,6.873607159,22.291016,0.16707936,2.0695236,1756,2.217819691,0.14671977,2.1696641,0.19778636,2.034741,1750,2.239777088
4.595703,102,1742.5,0.968024462,5488.5,6.975860447,22.763685,0.16734171,2.0688908,1756,2.254880428,0.14694217,2.168886,0.19812566,2.0341942,1738,2.25352478
4.6175995,103,1739.5,0.930352122,5493,6.699122638,23.129255,0.16765618,2.0681105,1756,2.227317333,0.14712965,2.1680875,0.19846375,2.033533,1744,2.333569765
4.6568623,104,1743.25,0.936701417,5501.25,6.81156227,23.594841,0.16796911,2.0674672,1780,2.271740198,0.14734057,2.167438,0.19881848,2.0330105,1768,2.424185038
4.681196,105,1744.75,0.935874939,5508.75,6.698669434,24.00586,0.16825768,2.0667748,1774,2.313309193,0.1475425,2.1666207,0.19914758,2.0323994,1738,2.289367676
4.683619,106,1753,0.952915728,5527.5,6.659777731,24.394941,0.16859013,2.0660691,1774,2.292434692,0.14773232,2.1658955,0.19948098,2.031818,1768,2.396726131
4.713472,107,1743.25,0.914161921,5493,6.557841748,24.853804,0.16891153,2.0654354,1756,2.207611322,0.14793903,2.1652346,0.19983487,2.031284,1798,2.32857728
4.7064724,108,1750,0.963343918,5544,6.887752593,25.241985,0.16922337,2.0647752,1774,2.266363859,0.14812672,2.1644144,0.2001611,2.0307026,1750,2.210054159
